Date,Ticker,Open,High,Low,Close,Volume
2025-08-15,MSFT,522.77,526.1,519.08,520.17,25213272
2025-08-18,MSFT,521.585,522.82,514.02,517.1,23760583
2025-08-19,MSFT,515.0,515.1641,508.55,509.77,21481016
2025-08-20,MSFT,509.865,511.0,504.44,505.72,27723025
2025-08-21,MSFT,503.69,507.63,502.7201,504.24,18443254
2025-08-22,MSFT,504.25,510.73,502.41,507.23,24324161
2025-08-25,MSFT,506.63,508.19,504.12,504.26,21638579
2025-08-26,MSFT,504.355,504.9778,498.51,502.04,30835709
2025-08-27,MSFT,502.0,507.29,499.9,506.74,17277893
2025-08-28,MSFT,507.09,511.09,505.5,509.64,18015593
2025-08-29,MSFT,508.66,509.6,504.4915,506.69,20961569
2025-09-02,MSFT,500.465,506.0,496.81,505.12,18127995
2025-09-03,MSFT,503.79,507.79,502.32,505.35,16345078
2025-09-04,MSFT,504.3,508.15,503.15,507.97,15509486
2025-09-05,MSFT,509.07,511.97,492.37,495.0,31994846
2025-09-08,MSFT,498.105,501.195,495.03,498.23,16801841
2025-09-09,MSFT,501.43,502.25,497.7,498.41,14410542
2025-09-10,MSFT,502.98,503.2299,496.72,500.37,21611816
2025-09-11,MSFT,502.25,503.17,497.88,501.01,18881608
2025-09-12,MSFT,506.65,512.55,503.85,509.9,23624884
2025-09-15,MSFT,508.79,515.47,507.0,515.36,17143786
2025-09-16,MSFT,516.88,517.23,508.6,509.04,19711922
2025-09-17,MSFT,510.62,511.29,505.93,510.02,15816585
2025-09-18,MSFT,511.49,513.07,507.66,508.45,18913696
2025-09-19,MSFT,510.56,519.3,510.31,517.93,52474093
2025-09-22,MSFT,515.59,517.74,512.545,514.45,20009314
2025-09-23,MSFT,513.8,514.5899,507.31,509.23,19799580
2025-09-24,MSFT,510.38,512.48,506.92,510.15,13533711
2025-09-25,MSFT,508.3,510.01,505.04,507.03,15786468
2025-09-26,MSFT,510.06,513.94,506.62,511.46,16213129
2025-09-29,MSFT,511.5,516.845,508.88,514.6,17617775
2025-09-30,MSFT,513.24,518.16,509.66,517.95,19728229
2025-10-01,MSFT,514.8,520.505,511.69,519.71,22632336
2025-10-02,MSFT,517.64,521.6,510.6791,515.74,21222886
2025-10-03,MSFT,517.1,520.49,515.0,517.35,15112321
2025-10-06,MSFT,518.61,531.03,518.2,528.57,21388581
2025-10-07,MSFT,528.285,529.8,521.44,523.98,14615208
2025-10-08,MSFT,523.28,526.95,523.09,524.85,13363447
2025-10-09,MSFT,522.335,524.325,517.4,522.4,18343602
2025-10-10,MSFT,519.64,523.58,509.63,510.96,24133840
2025-10-13,MSFT,516.41,516.41,511.68,514.05,14284238
2025-10-14,MSFT,510.225,515.282,506.0,513.57,14684300
2025-10-15,MSFT,514.955,517.19,510.0,513.43,14694654
2025-10-16,MSFT,512.58,516.85,508.13,511.61,15559565
2025-10-17,MSFT,509.04,515.48,507.31,513.58,19867765
2025-10-20,MSFT,514.61,518.7,513.43,516.79,14665620
2025-10-21,MSFT,517.5,518.69,513.04,517.66,15586204
2025-10-22,MSFT,521.15,525.23,517.71,520.54,18962694
2025-10-23,MSFT,522.46,523.95,518.61,520.56,14023532
2025-10-24,MSFT,522.79,525.345,520.71,523.61,15532360
2025-10-27,MSFT,531.78,534.58,529.01,531.52,18734716
2025-10-28,MSFT,550.0,553.72,540.77,542.07,29986683
2025-10-29,MSFT,544.94,546.27,536.7287,541.55,36023004
2025-10-30,MSFT,530.48,534.97,522.12,525.76,41023088
2025-10-31,MSFT,528.875,529.32,515.1,517.81,34006424
2025-11-03,MSFT,519.805,524.96,514.59,517.03,22374742
2025-11-04,MSFT,511.76,515.55,507.84,514.33,20958663
2025-11-05,MSFT,513.3,514.83,506.575,507.16,23024342
2025-11-06,MSFT,505.66,505.7,495.81,497.1,27406496
2025-11-07,MSFT,496.945,499.377,493.25,496.82,24019764
2025-11-10,MSFT,500.035,506.85,498.8,506.0,26101480
2025-11-11,MSFT,504.8,509.6,502.3488,508.68,17980020
2025-11-12,MSFT,509.355,511.67,499.1201,511.14,26574851
2025-11-13,MSFT,510.31,513.5,505.45,507.3444,5905521
2025-02-26,NVDA,129.985,133.73,128.49,131.28,322553814
2025-02-27,NVDA,135.0,135.01,120.01,120.15,443175846
2025-02-28,NVDA,118.02,125.09,116.4,124.92,389091145
2025-03-03,NVDA,123.51,123.7,112.28,114.06,411381373
2025-03-04,NVDA,110.645,119.31,110.11,115.99,398163305
2025-03-05,NVDA,117.58,118.2781,114.51,117.3,284337886
2025-03-06,NVDA,113.53,115.35,110.22,110.57,321181861
2025-03-07,NVDA,111.25,113.48,107.56,112.69,341755468
2025-03-10,NVDA,109.9,111.85,105.46,106.98,366487363
2025-03-11,NVDA,106.99,112.236,104.77,108.76,354865692
2025-03-12,NVDA,114.12,116.76,112.88,115.74,323857454
2025-03-13,NVDA,117.03,117.76,113.79,115.58,299033131
2025-03-14,NVDA,118.61,121.88,118.15,121.67,277593455
2025-03-17,NVDA,122.74,122.89,118.03,119.53,255501481
2025-03-18,NVDA,118.0,119.02,114.54,115.43,299686944
